smiles,pIC50
CC(=O)NC1CCC(CC1)c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,5.16
CC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,5.05
CC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,4.70
CC(=O)NCCNC(=O)c1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,5.92
CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@H]3c4ccc(F)c(F)c4)c(Cl)c2,5.96
CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@H]3c4cccnc4)c(Cl)c2,5.32
CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@]34OC(=O)c5cc(F)c(F)cc45)c(C)c2,4.89
CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@]34OCc5cc(F)c(F)cc45)c(C)c2,5.29
CC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@]3(O)c4ccc(F)c(F)c4)c(C)c2,5.38
CC(=O)NC[C@@H]1OC(=O)N2[C@H]1COc3cc(ccc23)c4ccc(nc4)C#N,5.56
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4CN(CCc34)C(=O)C(C)(C)C)c5cccc(F)c5,5.30
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4CN(CCc34)C(=O)C)c5cccc(F)c5,5.30
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4CN(CCc34)c5ccncn5)c6cccc(F)c6,8.00
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4CN(CCc34)c5cnccn5)c6cccc(F)c6,6.00
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@H](C2)n3c(C)nc4ccccc34)c5ccccc5,5.82
CC(=O)N[C@@H]1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,6.27
CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4c(c3)c5ccccc5n4C(=O)N)CC2)c6ccccc16,5.70
CC(=O)N[C@H]1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,5.58
CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)c(F)cc1C,4.80
CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)ccc1C,4.68
CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)ccc1C5CC5,4.72
CC(=O)Nc1cc(Nc2cc(NC3CC3)n4ncc(C#N)c4n2)ncc1C,4.72
CC(=O)Nc1cc(Nc2cc(NC3CCC3)n4ncc(C#N)c4n2)c(F)cc1C,4.80
CC(=O)Nc1cc(Nc2cc(NC3CCC3)n4ncc(C#N)c4n2)ccc1C,4.96
CC(=O)Nc1ccc(CCN2CCC(COc3nc4ccccc4c5cn(C)cc35)CC2)cc1,7.70
CC(=O)Nc1ccc(cn1)c2cc3sc(nc3cn2)N4CCC(CC4)N5CCCCC5,5.07
CC(=O)Nc1ccc(cn1)c2cnc3nc(sc3c2)N4CCC(CC4)N5CCCCC5,4.40
CC(=O)Nc1ccc2C(=O)N(CCCCN3CCC(CC3)Nc4nc5ccccc5n4Cc6ccc(F)cc6)C(=O)c7cccc1c27,6.74
CC(=O)Nc1ccc2CCC(N3CCC(CC3)NC(=O)C4=CC(=O)c5ccc(F)cc5O4)c2c1,4.59
CC(=O)Nc1ccc2ccn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1,5.07
CC(=O)Nc1cccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)c1,4.22
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccc(C)cc4)c1C,5.71
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)Oc4ccc(OC(F)(F)F)cc4)c1C,5.59
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)Oc4ccc(cc4)C(F)(F)F)c1C,5.39
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCc4ccccc4C3)c1,5.42
CC(=O)Nc1cccc(c1)C2CCN(CCCN3N=C(c4ccc(F)c(F)c4)c5ccccc5C3=O)CC2,4.80
CC(=O)Nc1cccc(c1)C2CCN(CCCn3c(nc4ccccc34)c5ccc(Cl)cc5)CC2,8.52
CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3)C(=O)c4nc(C)c(C)n4c5ccc(F)cc5)CC2,5.77
CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3)C(=O)c4nc5ccccc5n4C6CCOCC6)CC2,5.92
CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3)C(=O)c4nc5ccccc5n4c6ccc(Cl)cc6)CC2,5.77
CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3)C(=O)c4nc5ccccc5n4c6ccc(F)cc6)CC2,5.71
CC(=O)Nc1cccc(c1)C2CCN(Cc3ccc(cc3F)C(=O)c4nc5ccccc5n4c6ccc(F)cc6)CC2,5.72
CC(=O)Nc1cccc(c1)N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2,5.42
CC(=O)Nc1cccc(c1)N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2,6.52
CC(=O)OCC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,5.30
CC(=O)OCC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1,4.52
CC(=O)c1ccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)cc1,7.69
CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,4.31
