SMILES,Name,pIC50
CN([C@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@@H]1O)S(C)(=O)=O,CHEMBL298475,4.9
CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,CHEMBL1264,4.4
NCC(O)COc1ccccc1C(=O)CCc1ccccc1,CHEMBL1365,4.36
CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,CHEMBL129583,8.1
CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,CHEMBL182977,8.33
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,CHEMBL9484,7.36
CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(C#N)cc1,CHEMBL362103,7.45
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,CHEMBL363295,5.77
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,CHEMBL631,6.0
COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,CHEMBL353985,6.0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,CHEMBL511,5.43
COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,CHEMBL184014,5.22
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,CHEMBL87045,4.855
Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,CHEMBL360861,5.0
CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,CHEMBL185434,4.92
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,CHEMBL186873,4.85
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CHEMBL1726,4.64
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,CHEMBL1097,4.0
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1CCc1ccccc1,CHEMBL362721,7.05
COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,CHEMBL184461,6.38
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,CHEMBL46516,5.64
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,5.6
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,CHEMBL416956,5.3375
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,CHEMBL182223,4.1
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,CHEMBL435882,6.06
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,CHEMBL186482,5.01
NCc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1,CHEMBL186730,6.1
C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL189881,5.96
C[C@@H](c1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL195378,4.23
C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL370072,4.55
COc1ccc([C@@H](O)C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1,CHEMBL196983,6.1
COc1cc2c(cc1OC)[C@H](C[C@H](O)c1ccc(Cl)cc1)N(C)CC2,CHEMBL197467,6.4
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccccc2)n1,CHEMBL197243,6.75
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,CHEMBL197304,7.4
Clc1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,CHEMBL195180,7.52
Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL92870,7.8
